,Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,cluster
569,2,2,6,0,2,0,23,35,0,30,3
570,2,2,2,2,2,11,21,31,11,16,3
571,0,2,6,8,9,11,12,14,17,20,3
572,1,2,3,4,8,13,17,18,27,8,2
573,1,2,2,18,2,18,22,33,1,1,1
574,0,2,8,12,13,13,13,13,14,14,3
575,2,2,4,3,16,21,25,25,1,1,1
576,6,2,6,11,6,17,6,6,17,22,3
577,0,2,3,5,7,10,13,16,20,25,3
578,1,2,2,4,10,17,27,32,3,3,1
579,1,2,2,3,10,5,15,32,4,27,3
580,0,2,0,0,0,0,25,25,25,25,3
581,1,2,5,7,9,11,13,15,17,19,3
582,4,2,6,2,2,17,17,23,10,15,3
583,5,2,7,8,9,11,12,14,15,16,3
584,1,2,6,8,13,14,15,16,1,23,3
585,3,2,5,9,11,15,22,20,3,10,1
586,4,2,7,9,11,14,18,21,0,13,1
587,0,2,0,0,21,21,0,28,28,0,2
588,0,2,0,0,0,20,23,25,29,1,2
589,0,2,0,5,7,8,13,15,20,31,0
590,0,2,0,8,11,14,17,20,17,13,3
591,6,2,6,21,21,21,5,5,6,6,1
592,1,2,10,12,9,18,2,2,20,25,0
593,1,2,1,1,19,19,2,20,34,2,2
594,3,2,6,13,6,18,9,11,14,17,3
595,1,2,1,1,5,17,17,17,20,20,3
596,3,2,1,2,3,6,5,20,12,45,0
597,1,2,1,9,16,21,22,23,5,1,1
598,0,2,5,6,15,5,6,10,24,26,0
599,1,2,2,5,7,20,20,20,20,3,2
600,0,2,1,16,21,2,2,3,32,22,0
601,1,2,0,0,5,6,10,24,23,28,0
602,1,2,1,1,2,5,11,24,26,28,0
603,1,2,11,2,14,16,17,31,3,3,1
604,2,2,2,2,2,15,18,21,34,2,2
605,0,2,0,11,11,0,25,24,27,0,2
606,2,2,2,12,2,19,2,29,10,19,3
607,0,2,0,15,15,20,25,25,0,0,1
608,0,2,4,4,8,0,25,27,29,0,2
609,0,2,3,5,10,21,21,21,10,6,1
610,3,2,3,3,3,17,17,17,17,17,3
611,3,2,3,4,4,5,5,5,34,34,0
612,0,2,0,0,1,0,0,32,32,32,0
613,1,2,1,1,0,0,24,24,24,24,3
614,3,2,9,2,3,14,21,5,17,23,3
615,0,2,8,10,15,5,31,23,5,0,1
616,3,2,0,15,0,23,26,31,0,0,1
617,0,2,8,4,4,21,16,22,4,21,3
618,2,2,8,5,6,16,15,19,8,18,3
619,1,2,1,13,16,19,22,25,1,1,1
620,4,2,4,14,14,14,4,4,35,4,2
621,2,2,10,12,14,3,13,4,37,4,2
622,0,2,1,10,11,12,1,1,31,31,0
623,2,2,2,16,2,2,18,23,30,3,2
624,4,2,11,4,15,6,22,4,25,6,2
625,2,2,2,2,2,12,2,42,12,22,3
626,2,2,2,5,20,26,3,3,31,5,2
627,1,2,3,4,5,11,16,21,26,11,2
628,1,2,1,1,1,15,20,20,20,20,3
629,1,2,12,6,6,23,2,2,25,22,0
630,2,2,4,6,7,11,12,14,16,25,3
631,0,2,0,3,10,21,28,22,11,4,1
632,1,2,7,9,12,8,24,30,3,3,1
633,1,2,3,4,10,15,15,15,4,31,3
634,0,2,7,8,11,0,0,23,25,25,0
635,4,2,11,15,18,23,27,0,0,0,1
636,5,2,0,0,0,0,0,29,29,34,0
637,2,2,2,2,2,22,22,22,22,2,2
638,3,2,11,19,2,20,20,18,2,4,1
639,3,2,4,4,4,26,26,27,2,3,1
640,2,2,2,11,2,21,1,28,1,30,3
641,0,2,1,1,17,20,2,26,29,3,2
642,6,2,8,9,10,11,12,13,14,15,3
643,1,2,6,10,12,12,15,16,13,14,3
644,0,2,5,15,5,10,20,20,25,0,2
645,1,2,1,1,1,17,18,19,20,21,3
646,1,2,5,7,9,10,12,14,16,23,3
647,1,2,6,16,6,6,6,6,44,6,2
648,1,2,2,5,11,13,16,17,17,16,3
649,1,2,2,5,8,11,14,17,19,22,3
650,5,2,10,3,4,5,4,56,4,5,1
651,0,2,0,0,0,98,0,0,0,0,1
652,2,2,4,20,23,13,4,7,0,24,3
653,4,2,5,9,8,14,15,15,14,14,3
654,2,2,7,10,12,2,28,29,4,4,1
655,1,2,2,11,11,11,8,18,18,18,3
656,4,2,6,5,12,24,14,15,14,2,1
657,2,2,2,2,2,2,10,25,50,3,2
658,1,2,1,1,15,19,22,35,2,2,1
659,2,2,5,6,7,15,14,15,16,17,3
660,1,2,2,2,11,2,21,26,31,2,2
661,1,2,10,10,15,25,5,5,1,27,3
662,2,2,5,9,11,10,27,29,2,2,1
663,1,2,2,9,11,13,16,18,15,14,3
664,2,2,5,7,9,11,13,15,16,18,3
665,2,2,2,2,2,14,24,27,23,2,2
666,0,2,0,0,0,0,25,31,41,0,2
667,1,2,1,1,1,1,23,1,29,40,0
668,1,2,6,7,12,3,28,34,3,4,1
669,0,2,3,7,10,14,18,21,18,9,2
670,3,2,9,11,14,16,20,22,1,1,1
671,2,2,7,10,16,22,29,4,4,4,1
672,0,2,2,2,15,15,18,19,22,5,2
673,0,2,8,11,0,22,27,30,0,0,1
674,5,2,8,21,14,5,3,19,19,4,2
675,0,2,0,0,23,24,25,0,27,0,2
676,1,2,4,12,14,4,6,5,31,21,0
677,0,2,9,11,21,18,18,0,0,23,3
678,0,2,5,3,24,24,28,11,1,2,1
679,4,2,8,10,12,12,12,18,20,1,2
680,1,2,2,4,6,9,13,17,21,26,3
681,0,2,17,0,0,0,28,23,2,28,3
682,0,2,2,15,11,6,5,3,26,30,0
683,1,2,1,1,23,15,3,26,3,26,3
684,1,2,3,3,5,5,10,10,30,30,0
685,3,2,6,9,11,2,28,32,2,3,1
686,2,2,7,15,18,21,0,2,0,32,3
687,0,2,12,1,2,23,3,3,32,23,0
688,0,2,12,0,0,25,0,0,28,32,0
689,1,2,4,9,6,18,8,18,6,27,3
690,1,2,2,2,2,21,22,23,25,0,2
691,2,2,7,7,8,15,18,18,20,1,2
692,3,2,5,6,10,10,11,13,16,22,3
693,5,2,7,7,7,21,3,24,2,24,3
694,5,2,7,7,7,21,3,24,2,24,3
695,0,2,0,10,15,17,26,30,0,1,1
696,1,2,6,7,9,10,13,15,17,19,3
697,0,2,0,3,3,18,18,18,18,22,3
698,1,2,2,3,5,8,13,21,18,28,3
699,0,2,0,10,14,14,0,24,20,18,3
700,1,2,1,1,1,2,31,31,31,0,2
701,4,2,3,1,6,26,37,2,9,9,1
702,3,2,1,1,2,2,2,22,34,32,0
703,2,2,3,3,5,11,16,16,21,21,3
704,1,2,5,13,17,0,26,0,36,0,2
705,5,2,8,8,10,18,21,24,2,2,1
706,1,2,5,7,9,11,13,15,17,19,3
707,5,2,6,6,11,5,5,6,26,26,0
708,2,2,4,5,5,15,15,25,25,1,2
709,2,2,5,7,9,11,13,15,16,18,3
710,2,2,7,17,22,22,13,4,4,7,1
711,4,2,8,10,7,13,10,14,18,12,3
712,1,2,2,2,2,10,10,20,50,2,2
713,2,2,6,8,10,10,12,14,16,18,3
714,1,2,4,8,12,16,21,31,2,3,1
715,5,2,7,8,9,10,11,15,16,16,3
716,9,2,1,1,1,1,1,25,30,30,0
717,1,2,1,1,1,19,19,19,19,19,3
718,2,2,4,4,16,16,21,31,2,2,1
719,0,2,0,0,0,10,10,15,25,39,0
720,4,2,7,0,0,11,0,0,37,39,0
721,1,2,5,7,11,11,13,15,16,18,3
722,1,2,5,7,9,11,13,15,17,19,3
723,4,2,8,12,18,23,32,0,0,0,1
724,1,2,1,6,20,20,20,25,3,3,1
725,1,2,1,1,43,7,7,35,1,1,1
726,0,2,0,15,0,22,26,0,35,0,2
727,1,2,5,1,20,20,1,25,25,1,2
728,3,2,3,7,7,6,6,15,30,20,0
729,5,2,7,8,9,10,11,12,14,20,3
730,2,2,5,2,6,11,31,30,6,4,1
731,0,2,0,5,6,7,8,22,25,26,0
732,0,2,8,10,12,14,17,19,20,0,2
733,0,2,0,0,0,0,26,0,34,38,0
734,1,2,3,5,11,19,20,19,16,5,1
735,1,2,3,5,7,13,16,22,15,17,3
736,6,2,9,13,17,22,27,1,1,1,1
737,1,2,2,0,0,4,6,8,34,43,0
738,5,2,21,5,5,21,5,5,10,21,3
739,0,2,4,15,18,6,4,2,27,23,0
740,2,2,5,18,20,7,7,6,19,14,3
741,0,2,1,18,2,24,3,22,3,26,3
742,3,2,3,3,3,11,24,35,8,7,1
743,3,2,7,9,13,17,18,21,4,4,1
744,1,2,1,5,5,5,5,30,30,17,2
745,1,2,6,8,12,14,16,19,11,11,3
746,4,2,0,0,0,0,0,29,31,33,0
747,1,2,2,8,15,20,3,4,23,23,0
748,4,2,6,1,1,20,0,32,0,35,3
749,1,2,2,2,11,12,24,24,0,24,3
750,2,2,4,6,9,14,21,17,12,12,3
751,2,2,2,3,3,11,16,31,3,27,3
752,5,2,11,13,16,18,33,1,1,1,1
753,2,2,4,6,10,18,24,1,31,1,2
754,3,2,7,10,15,23,29,2,4,4,1
755,4,2,15,0,0,0,0,0,40,40,0
756,0,2,6,8,22,20,12,12,9,7,1
757,1,2,6,10,20,25,20,15,1,1,1
758,1,2,1,11,11,6,6,6,22,35,0
759,4,2,0,0,0,0,0,40,30,24,0
760,0,2,0,2,4,13,26,31,18,4,2
761,2,2,7,21,22,8,13,21,2,2,1
762,1,2,3,4,5,5,23,21,19,17,3
763,0,2,10,19,2,22,2,4,20,20,3
764,2,2,4,5,9,9,11,19,19,19,3
765,1,2,5,5,9,16,13,18,22,8,2
766,0,2,0,0,0,0,0,36,31,31,0
767,1,2,4,13,15,18,1,20,22,3,2
768,0,2,0,2,12,16,0,32,33,3,2
769,0,2,1,16,21,2,25,3,28,3,2
770,1,2,1,1,1,1,40,26,15,13,1
771,2,2,2,8,0,19,26,41,0,0,1
772,0,2,0,3,5,23,16,13,17,23,3
773,0,2,0,5,9,14,21,21,29,0,2
774,3,2,7,1,2,23,23,2,2,34,3
775,2,2,2,3,2,2,2,22,28,35,0
776,0,2,0,1,17,17,1,21,10,32,3
777,5,2,0,0,0,0,0,34,29,29,0
778,2,2,2,2,3,8,22,22,15,21,3
779,1,2,1,1,11,11,1,21,50,1,2
780,0,2,4,6,0,16,16,18,34,5,2
781,1,2,2,3,17,18,19,3,4,31,3
782,2,2,8,10,14,7,6,5,21,24,0
783,11,2,2,11,2,14,5,16,3,35,3
784,0,2,9,12,13,14,0,0,22,27,0
785,1,2,4,8,8,12,12,16,15,20,3
786,1,2,0,10,0,16,5,20,22,24,3
787,0,2,0,0,15,20,0,39,25,0,2
788,4,2,5,12,12,12,2,3,23,23,0
789,0,2,9,12,22,20,5,5,0,25,3
790,1,2,4,6,11,12,13,14,17,20,3
791,0,2,0,0,0,10,10,10,34,34,0
792,3,2,6,17,20,12,12,21,3,3,1
793,1,2,3,3,3,4,19,24,20,22,3
794,5,2,8,10,1,17,22,32,1,1,1
795,2,2,9,4,4,4,4,4,34,33,0
796,5,2,8,12,20,20,12,8,6,5,1
797,5,2,5,5,0,0,0,10,31,41,0
798,2,2,3,4,5,10,18,22,18,15,3
799,6,2,0,0,0,0,0,33,29,29,0
800,0,2,0,18,0,17,9,15,5,33,3
801,1,2,2,19,19,2,2,24,4,24,3
802,1,2,2,4,4,25,26,26,5,5,1
803,0,2,0,5,7,10,21,24,32,0,2
804,1,2,1,6,15,20,25,25,5,1,1
805,4,2,8,9,10,11,12,14,14,15,3
806,0,2,0,20,0,10,20,29,0,20,3
807,1,2,22,1,1,22,1,1,27,22,0
808,0,2,0,0,0,0,0,32,32,33,0
809,4,2,6,7,11,28,29,4,4,4,1
810,2,2,2,17,2,18,5,18,32,2,2
811,0,2,1,8,12,1,20,25,30,1,2
812,3,2,6,11,14,2,27,27,2,5,1
813,3,2,4,15,16,15,18,20,3,3,1
814,4,2,0,0,0,0,0,32,32,29,0
815,0,2,6,1,12,20,24,23,6,5,1
816,1,2,1,1,11,19,19,1,21,25,3
817,3,2,6,15,20,25,25,1,1,1,1
818,1,2,1,2,30,1,2,2,30,30,0
819,1,2,4,11,16,20,21,16,5,4,1
820,0,2,11,0,0,7,7,7,33,33,0
821,0,2,7,0,0,22,3,1,33,32,0
822,0,2,2,29,2,29,2,33,0,0,1
823,0,2,0,10,0,0,0,29,25,34,0
824,3,2,1,11,10,15,15,21,18,3,2
825,1,2,5,8,9,13,16,19,16,12,3
826,0,2,0,0,0,19,23,26,30,0,2
827,2,2,2,7,7,20,7,20,7,24,3
828,2,2,3,7,10,14,18,21,18,4,2
829,3,2,7,9,11,12,14,18,20,3,2
830,0,2,3,3,7,7,8,22,23,26,0
831,0,2,0,13,1,21,2,23,3,36,3
832,2,2,2,4,4,19,19,22,23,3,2
833,2,2,5,7,9,11,13,15,16,18,3
834,1,2,2,5,7,13,19,21,14,16,3
835,7,2,0,0,0,0,0,30,30,30,0
836,0,2,2,8,3,15,18,20,3,30,3
837,5,2,0,0,0,0,0,29,34,29,0
838,2,2,6,7,12,16,22,1,31,2,2
839,0,2,0,0,0,17,18,29,34,0,2
840,0,2,7,10,12,14,17,19,21,0,2
841,2,2,6,1,0,0,22,0,39,28,0
842,1,2,4,1,1,4,6,8,38,34,0
843,1,2,1,13,1,1,22,27,32,1,2
844,1,2,2,2,15,11,0,5,33,30,0
845,0,2,0,8,18,19,21,29,3,1,1
846,3,2,7,9,11,13,15,18,20,1,2
847,2,2,4,6,8,10,13,15,19,20,3
848,0,2,8,23,2,21,19,21,2,2,1
849,1,2,5,7,11,15,17,19,21,1,2
850,0,2,1,2,21,21,22,3,4,25,3
851,1,2,5,13,17,2,14,16,17,12,3
852,1,2,0,0,0,0,29,29,38,0,2
853,2,2,5,13,17,2,14,15,17,12,3
854,0,2,0,0,0,20,0,0,39,39,0
855,0,2,1,2,18,16,3,25,31,3,2
856,2,2,5,5,14,14,16,16,14,11,3
857,0,2,1,1,1,4,8,12,36,36,0
858,1,2,8,1,2,2,23,27,3,32,3
859,2,2,2,2,2,8,13,18,23,28,0
860,1,2,1,3,7,16,22,24,3,22,3
861,0,2,3,16,2,3,23,24,24,3,2
862,1,2,4,10,19,24,27,4,5,4,1
863,5,2,10,15,21,26,5,5,5,5,1
864,0,2,0,20,0,0,25,25,27,0,2
865,5,2,5,5,5,10,10,15,15,26,3
866,0,2,2,4,1,18,19,19,14,21,3
867,1,2,2,17,3,27,8,33,3,3,1
868,3,2,7,18,10,16,20,15,5,3,1
869,2,2,10,12,14,16,18,20,2,2,1
870,1,2,6,20,20,20,26,1,2,2,1
871,1,2,5,7,9,11,13,15,17,19,3
872,1,2,6,9,1,13,26,4,4,35,3
873,5,2,5,10,21,26,31,0,0,0,1
874,0,2,1,1,2,3,6,12,25,49,0
875,7,2,0,0,0,0,0,25,30,35,0
876,2,2,4,5,8,12,16,24,26,0,2
877,0,2,0,7,23,5,4,3,33,24,0
878,1,2,8,5,15,3,15,8,27,17,0
879,2,2,6,6,6,21,26,31,0,0,1
880,0,2,3,3,15,21,3,21,5,27,3
881,1,2,2,1,10,20,25,30,5,5,1
882,1,2,3,4,9,11,13,16,19,22,3
883,2,2,2,2,2,2,3,6,77,2,2
884,1,2,6,11,16,23,1,37,1,1,1
885,2,2,2,11,11,11,26,31,2,2,1
886,0,2,3,11,13,14,17,28,8,5,1
887,2,2,2,2,12,20,25,35,0,0,1
888,1,2,2,10,1,8,8,9,26,34,0
889,3,2,4,5,3,16,23,7,17,19,3
890,1,2,2,15,22,1,2,3,32,21,0
891,0,2,3,10,1,16,29,34,2,3,1
892,3,2,3,0,15,5,25,30,14,4,1
893,10,2,0,0,0,0,0,15,25,49,0
894,2,2,2,1,2,2,16,24,24,25,0
895,0,2,1,1,15,20,20,1,1,40,3
896,0,2,0,0,18,22,22,32,0,5,1
897,1,2,1,1,1,1,1,1,46,46,0
898,0,2,0,0,19,23,0,26,30,0,2
899,1,2,1,3,3,27,28,30,3,3,1
900,0,2,1,2,21,14,3,32,4,22,3
901,0,2,0,0,3,11,21,21,22,22,3
902,0,2,1,10,12,13,16,17,15,15,3
903,1,2,5,7,9,11,13,15,17,19,3
904,1,2,4,6,15,21,3,19,8,20,3
905,2,2,2,15,20,20,20,15,2,2,1
906,0,2,1,12,10,19,1,21,1,32,3
907,1,2,6,9,5,4,10,21,0,41,3
908,0,2,1,2,2,20,11,24,11,28,3
909,1,2,5,5,5,5,5,5,33,33,0
910,1,2,5,7,9,11,13,15,17,19,3
911,1,2,1,1,23,6,11,11,23,22,0
912,1,2,1,1,1,1,30,1,31,30,0
913,1,2,1,1,1,10,15,10,34,26,0
914,0,2,0,4,4,10,17,27,31,5,2
915,1,2,2,2,11,15,17,22,15,13,3
916,3,2,11,15,19,23,27,0,0,0,1
917,0,2,1,0,0,1,29,1,35,31,0
918,1,2,0,0,0,15,20,31,30,2,2
919,2,2,10,10,15,15,21,24,0,0,1
920,5,2,5,5,10,10,21,21,10,10,1
921,23,2,2,1,1,1,1,23,24,24,0
922,2,2,7,9,10,10,18,20,6,15,3
923,1,2,1,11,11,20,25,30,0,0,1
924,1,2,1,1,9,9,1,21,26,30,0
925,1,2,3,20,4,3,16,3,28,21,0
926,0,2,2,16,21,11,26,16,3,3,1
927,2,2,6,12,16,18,20,22,0,0,1
928,0,2,0,20,20,20,20,20,0,0,1
929,0,2,0,0,10,12,15,18,21,24,3
930,0,2,12,1,1,23,3,3,32,24,0
931,0,2,7,10,0,0,26,27,28,0,2
932,1,2,1,12,22,4,8,10,23,17,0
933,1,2,1,12,22,4,8,10,23,17,0
934,3,2,7,10,10,19,17,15,1,16,3
935,3,2,5,5,10,20,20,20,10,5,1
936,2,2,4,3,3,3,35,3,43,3,2
937,1,2,1,1,1,1,1,1,1,90,0
938,3,2,5,4,4,4,32,4,38,4,2
939,0,2,2,4,5,12,15,16,8,37,3
940,2,2,4,7,10,12,16,20,24,2,2
941,1,2,1,1,6,15,20,25,20,10,2
942,0,2,0,5,10,10,15,29,20,10,2
943,0,2,3,13,14,5,1,2,35,26,0
944,3,2,3,11,2,6,12,31,1,28,3
945,3,2,4,4,24,6,6,7,8,35,3
946,1,2,11,1,1,23,27,3,3,28,3
947,3,2,3,3,3,5,15,20,20,25,3
948,0,2,5,20,4,10,0,10,10,40,3
949,0,2,2,3,20,20,20,2,2,30,3
950,0,2,0,0,6,5,11,18,27,31,0
951,0,2,2,2,5,5,28,1,1,54,3
952,2,2,2,13,17,2,3,5,33,21,0
953,4,2,6,7,7,14,20,25,7,7,1
954,1,2,5,16,19,1,1,1,31,24,0
955,0,2,4,5,17,16,25,0,0,32,3
956,0,2,0,0,0,0,0,20,29,49,0
957,2,2,5,7,9,13,1,18,20,24,0
958,1,2,7,15,1,1,1,1,35,35,0
959,1,2,10,1,1,1,1,21,27,36,0
960,3,2,2,12,2,19,2,26,29,2,2
961,0,2,2,2,12,16,2,27,35,2,2
962,2,2,6,8,3,20,0,22,26,9,2
963,4,2,9,11,16,21,0,37,0,0,1
964,2,2,5,7,9,11,13,15,16,18,3
965,1,2,1,10,4,10,7,22,18,26,3
966,0,2,8,11,15,18,22,0,25,0,2
967,5,2,10,10,15,15,21,21,0,0,1
968,0,2,0,11,0,0,26,30,30,0,2
969,0,2,0,6,12,18,25,31,3,3,1
970,0,2,2,3,4,5,10,15,20,40,0
971,1,2,1,11,1,1,26,28,29,1,2
972,5,2,9,12,14,16,18,20,1,3,1
973,0,2,3,11,13,16,4,4,22,24,0
974,0,2,7,9,11,13,0,0,24,33,0
975,0,2,5,15,20,5,0,0,25,29,0
976,4,2,7,11,13,15,19,26,1,1,1
977,5,2,7,8,9,10,11,12,15,19,3
978,1,2,5,17,11,13,16,18,0,17,3
979,0,2,2,3,10,15,17,17,18,18,3
980,1,2,1,12,20,20,21,20,2,2,1
981,2,2,2,5,5,20,20,20,25,0,2
982,0,2,0,0,0,25,25,25,25,0,2
983,0,2,2,3,12,15,18,11,5,33,3
984,2,2,5,7,9,11,13,15,16,18,3
985,3,2,3,3,3,17,17,17,17,17,3
986,2,2,3,6,11,3,26,18,26,4,2
987,2,2,2,10,10,20,2,2,25,25,0
988,2,2,3,3,14,18,25,25,2,6,1
989,1,2,2,3,4,6,9,14,22,37,0
990,0,2,6,11,13,16,0,52,0,0,1
991,1,2,1,1,1,1,14,25,25,30,0
992,0,2,10,0,22,0,0,0,33,33,0
993,1,2,4,6,9,11,21,22,22,2,2
994,6,2,5,26,19,13,10,7,6,5,1
995,2,2,5,7,9,10,13,15,16,19,3
996,5,2,6,8,14,23,28,4,4,5,1
997,7,2,7,7,7,7,7,7,7,39,3
998,1,2,10,6,21,1,16,11,11,21,3
999,0,2,2,16,20,3,2,2,32,22,0
1000,0,2,0,18,18,8,5,5,34,11,2
1001,0,2,7,9,11,15,23,27,2,3,1
1002,0,2,0,0,10,15,20,25,29,0,2
1003,0,2,0,0,0,39,59,0,0,0,1
1004,1,2,2,2,2,16,22,23,27,3,2
1005,2,2,5,11,16,19,22,23,0,0,1
1006,0,2,11,2,3,24,6,8,37,8,2
1007,2,2,3,12,13,2,3,29,31,2,2
1008,0,2,0,0,0,0,10,20,29,39,0
1009,0,2,0,15,2,3,21,25,29,4,2
1010,0,2,2,14,15,5,5,5,33,20,0
1011,0,2,2,2,17,18,26,3,4,26,3
1012,0,2,8,0,3,0,30,9,9,39,3
1013,0,2,12,0,0,0,26,26,0,34,3
1014,2,2,2,8,2,2,20,26,34,2,2
1015,3,2,3,3,3,3,3,26,26,27,0
1016,0,2,0,0,0,6,16,21,25,30,0
1017,1,2,1,1,19,19,19,19,19,1,2
1018,0,2,1,1,2,23,23,23,23,3,2
1019,1,2,5,7,9,11,13,15,17,19,3
1020,1,2,6,12,20,3,25,20,4,6,1
1021,2,2,5,2,2,16,2,2,33,33,0
1022,3,2,5,18,9,18,6,15,6,18,3
1023,0,2,0,0,0,10,20,29,39,0,2
1024,1,2,5,11,12,0,15,12,19,21,3
1025,4,2,4,18,23,0,13,0,35,0,2
1026,0,2,1,15,1,1,25,25,29,0,2
1027,0,2,2,2,22,4,22,22,4,22,3
1028,2,2,1,3,1,3,8,26,27,27,0
1029,1,2,1,1,1,14,17,19,21,24,3
1030,2,2,10,13,16,19,3,3,4,27,3
1031,0,2,0,3,0,22,23,24,25,3,2
1032,1,2,10,3,3,18,3,3,29,29,0
1033,0,2,1,1,2,2,2,5,41,45,0
1034,2,2,5,7,11,3,15,18,27,9,2
1035,1,2,1,6,1,19,19,26,1,25,3
1036,3,2,8,10,1,15,19,21,19,2,2
1037,1,2,1,17,10,21,5,5,35,4,2
1038,0,2,0,5,5,15,15,15,20,25,3
1039,0,2,0,5,5,15,15,15,20,25,3
1040,1,2,0,17,20,0,0,3,28,28,0
1041,0,2,2,16,21,3,2,2,31,22,0
1042,5,2,5,5,16,18,19,20,5,5,1
1043,0,2,5,18,20,1,25,25,3,2,1
1044,0,2,6,4,8,5,20,12,23,20,3
1045,0,2,7,9,11,22,0,22,0,27,3
1046,0,2,3,0,0,14,14,5,32,30,0
1047,1,2,3,5,1,11,20,26,0,32,3
1048,1,2,3,10,20,20,20,10,10,5,1
1049,0,2,1,1,1,4,9,14,25,44,0
1050,0,2,0,5,4,5,24,5,29,26,0
1051,1,2,1,9,14,18,2,24,28,2,2
1052,1,2,3,4,5,6,7,24,24,24,0
1053,0,2,2,16,21,3,2,3,31,21,0
1054,0,2,1,2,8,6,16,16,19,31,3
1055,2,2,2,4,12,14,7,19,25,12,2
1056,1,2,1,22,3,22,3,22,3,22,3
1057,4,2,18,4,4,18,4,20,20,4,2
1058,2,2,5,7,9,11,13,15,16,18,3
1059,0,2,0,0,8,2,25,29,34,0,2
1060,0,2,0,15,15,0,0,0,34,34,0
1061,2,2,2,17,18,18,18,20,2,2,1
1062,2,2,1,17,0,31,0,33,4,11,1
1063,1,2,0,16,21,1,2,3,32,22,0
1064,0,2,1,16,21,3,2,1,32,23,0
1065,0,2,4,14,15,5,5,5,33,17,0
1066,0,2,0,15,18,1,1,1,31,31,0
1067,2,2,3,17,17,3,4,4,23,24,0
1068,2,2,2,2,13,15,19,22,19,4,2
1069,0,2,0,15,21,0,0,0,35,27,0
1070,5,2,8,10,14,14,12,18,15,0,1
1071,5,2,8,10,14,14,12,18,15,0,1
1072,0,2,3,4,16,6,16,16,11,26,3
1073,1,2,2,2,19,15,15,16,1,27,3
1074,0,2,9,0,0,19,6,0,35,30,0
1075,2,2,11,1,2,16,3,3,30,30,0
1076,1,2,2,2,6,6,14,20,22,26,3
1077,1,2,1,12,2,19,3,25,4,31,3
1078,4,2,9,5,1,18,1,32,3,25,3
1079,0,2,2,16,22,16,16,22,2,2,1
1080,1,2,15,19,19,1,11,11,11,11,3
1081,2,2,8,10,3,13,14,15,6,26,3
1082,5,2,10,10,10,10,10,10,10,21,3
1083,1,2,1,1,1,1,1,26,33,33,0
1084,6,2,0,0,0,0,1,32,32,26,0
1085,2,2,5,0,0,0,15,25,0,51,3
1086,1,2,0,0,20,20,21,21,7,6,1
1087,0,2,2,12,3,18,4,24,5,31,3
1088,3,2,5,7,9,9,0,19,21,23,0
1089,1,2,4,5,10,15,21,41,1,1,1
1090,2,2,8,10,13,17,21,21,3,3,1
1091,2,2,5,7,9,11,13,15,16,18,3
1092,1,2,6,11,16,19,2,1,15,26,3
1093,2,2,5,7,9,11,13,15,16,18,3
1094,1,2,2,0,0,24,24,24,24,0,2
1095,0,2,4,16,21,2,4,5,31,16,0
1096,0,2,10,0,0,25,0,0,27,35,0
1097,1,2,1,16,18,20,20,21,1,1,1
1098,1,2,5,7,9,11,13,15,17,19,3
1099,3,2,9,12,16,0,0,0,27,30,0
1100,4,2,9,16,22,0,0,0,28,18,0
1101,4,2,9,17,22,0,0,0,28,18,0
1102,1,2,1,0,2,21,27,5,34,7,2
1103,0,2,1,0,3,22,27,5,34,7,2
1104,3,2,0,0,0,0,0,29,32,33,0
1105,1,2,1,4,7,12,18,24,30,2,2
1106,1,2,3,5,16,21,5,5,21,21,3
1107,2,2,5,5,5,13,17,19,23,8,2
1108,3,2,4,12,13,22,18,13,6,6,1
1109,2,2,2,6,10,2,14,23,14,23,3
1110,0,2,1,1,1,4,9,14,25,44,0
1111,3,2,6,6,12,3,6,29,8,24,3
1112,1,2,1,8,15,16,5,5,25,23,0
1113,0,2,1,6,11,18,27,5,0,30,3
1114,0,2,0,0,0,17,18,18,28,18,2
1115,4,2,12,20,25,7,7,7,7,7,1
1116,2,2,4,7,5,6,29,8,26,10,2
1117,5,2,12,18,26,5,6,7,8,9,3
1118,5,2,5,5,5,10,31,31,2,3,1
1119,0,2,11,12,14,4,24,4,26,4,2
1120,2,2,5,20,30,40,0,0,0,0,1
1121,4,2,4,11,1,11,22,6,5,33,3
1122,1,2,5,7,9,10,12,15,18,20,3
1123,0,2,5,4,10,15,20,20,23,1,2
1124,1,2,5,7,9,11,13,15,17,19,3
1125,2,2,2,12,17,17,17,17,7,7,1
1126,0,2,0,0,0,0,20,23,26,29,0
1127,5,2,7,8,9,11,12,14,15,16,3
1128,1,2,7,11,14,17,2,3,21,22,0
1129,0,2,2,5,17,5,17,17,32,4,2
1130,3,2,3,17,17,17,17,17,3,3,1
1131,2,2,1,2,10,14,1,15,31,23,0
1132,5,2,4,2,5,18,20,19,21,3,2
1133,0,2,0,14,21,1,0,1,32,29,0
1134,6,2,1,1,1,1,1,28,30,30,0
1135,0,2,4,17,21,2,4,5,31,15,0
1136,0,2,0,15,18,2,3,5,33,23,0
1137,0,2,8,0,13,4,6,5,35,27,0
1138,2,2,6,5,5,20,10,25,24,1,2
1139,0,2,17,1,1,16,3,3,28,29,0
1140,1,2,1,11,1,11,3,34,3,34,3
1141,0,2,0,17,19,20,21,23,0,0,1
1142,0,2,1,2,3,22,22,23,3,23,3
