,Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,cluster
130,2,2,4,7,9,11,14,15,17,19,3
131,1,2,9,15,0,20,25,29,0,0,1
132,1,2,0,4,11,14,20,25,23,0,2
133,1,2,1,21,1,1,22,24,26,2,2
134,1,2,1,7,4,12,32,3,34,3,2
135,1,2,1,6,22,12,8,14,6,29,3
136,2,2,2,5,12,2,5,28,32,10,2
137,1,2,12,1,1,20,1,1,34,28,0
138,3,2,4,11,12,16,20,21,4,5,1
139,2,2,0,5,7,12,16,18,18,19,3
140,1,2,5,7,9,11,13,15,17,19,3
141,1,2,13,9,2,2,23,22,2,25,3
142,1,2,1,1,15,15,20,25,20,1,2
143,2,2,1,1,1,1,1,23,33,36,0
144,3,2,5,6,9,12,16,21,23,1,2
145,1,2,15,1,15,1,20,2,20,24,3
146,2,2,2,8,9,11,12,18,18,18,3
147,3,2,3,3,15,18,3,24,27,3,2
148,1,2,1,11,13,4,29,32,4,4,1
149,1,2,1,14,12,12,14,14,30,1,2
150,1,2,1,11,2,21,3,26,3,31,3
151,2,2,9,12,14,16,2,2,2,39,3
152,2,2,2,7,7,27,27,2,10,14,3
153,1,2,1,1,23,23,23,23,2,2,1
154,3,2,1,1,1,1,2,26,27,37,0
155,1,2,4,4,10,12,14,16,18,20,3
156,3,2,7,2,2,15,19,21,0,29,3
157,2,2,5,13,16,1,7,16,33,5,2
158,1,2,1,1,1,3,33,20,20,19,3
159,1,2,1,2,8,10,20,25,30,2,2
160,1,2,13,21,25,34,1,1,1,1,1
161,2,2,2,7,11,14,17,17,15,13,3
162,1,2,9,9,1,15,2,2,29,31,0
163,3,2,11,11,4,4,19,20,21,4,2
164,1,2,1,2,2,2,23,23,23,23,3
165,1,2,2,11,3,26,2,27,26,1,2
166,5,2,0,0,0,0,0,32,31,31,0
167,3,2,6,13,15,17,4,15,15,9,3
168,1,2,1,15,16,13,3,1,21,28,0
169,2,2,8,12,3,19,2,6,12,33,3
170,2,2,5,7,9,11,13,15,16,18,3
171,3,2,3,6,6,25,25,27,1,1,1
172,2,2,5,7,12,17,20,25,5,4,1
173,1,2,4,5,31,5,7,7,7,31,3
174,2,2,4,0,6,15,10,26,34,0,2
175,1,2,3,4,4,7,8,13,20,37,0
176,1,2,8,10,16,16,22,24,1,1,1
177,1,2,1,1,1,1,19,22,25,28,0
178,1,2,2,12,3,18,4,24,5,30,3
179,1,2,1,2,3,26,30,30,3,3,1
180,1,2,2,2,2,16,16,30,3,27,3
181,1,2,0,2,21,22,3,24,26,0,2
182,3,2,4,4,12,12,27,27,4,4,1
183,1,2,1,1,11,12,15,17,19,22,3
184,1,2,0,0,0,0,28,0,35,35,0
185,2,2,2,5,9,11,11,11,11,36,3
186,1,2,6,3,23,18,1,23,21,1,2
187,1,2,1,9,11,14,17,18,15,13,3
188,5,2,6,20,24,7,7,20,4,5,1
189,1,2,5,5,5,15,15,20,30,1,2
190,1,2,1,11,16,21,21,26,1,1,1
191,2,2,4,12,1,24,4,26,2,22,3
192,1,2,2,2,6,9,18,18,24,18,3
193,1,2,1,3,12,17,5,27,3,30,3
194,2,2,2,2,10,10,28,12,30,2,2
195,1,2,3,4,5,6,7,8,9,55,0
196,3,2,2,1,3,3,16,19,26,26,0
197,3,2,7,8,2,14,16,1,34,12,2
198,2,2,10,1,1,16,3,32,28,4,2
199,1,2,1,27,27,1,1,1,20,20,0
200,1,2,1,17,20,1,2,23,31,3,2
201,4,2,10,14,15,14,15,16,4,4,1
202,2,2,5,10,14,15,20,20,10,2,1
203,1,2,0,24,0,0,24,24,24,0,2
204,1,2,2,2,11,13,3,32,31,3,2
205,1,2,1,2,16,20,24,2,30,3,2
206,1,2,1,1,1,12,12,24,1,46,3
207,1,2,1,5,10,20,25,30,3,4,1
208,1,2,0,14,22,2,2,24,32,2,2
209,1,2,1,1,1,1,4,20,20,50,0
210,3,2,3,3,12,12,3,29,29,3,2
211,1,2,1,1,1,1,9,20,30,35,0
212,1,2,0,0,0,9,10,10,34,34,0
213,0,2,0,0,5,5,5,15,29,39,0
214,1,2,0,9,14,20,25,30,0,0,1
215,1,2,1,1,18,5,5,6,34,27,0
216,1,2,4,12,20,2,2,6,30,22,0
217,1,2,0,0,0,0,0,22,36,39,0
218,1,2,4,5,9,12,12,18,12,26,3
219,1,2,0,12,14,13,0,0,30,28,0
220,1,2,1,7,10,12,14,16,18,20,3
221,1,2,4,13,9,10,10,23,19,7,2
222,1,2,14,0,0,18,0,0,32,33,0
223,3,2,7,9,11,13,15,18,20,1,2
224,1,2,1,15,17,19,21,23,1,1,1
225,1,2,0,12,0,12,25,25,25,0,2
226,2,2,4,3,7,11,11,27,4,28,3
227,1,2,4,13,13,18,22,22,3,3,1
228,1,2,13,2,2,14,2,3,31,31,0
229,1,2,2,12,16,3,2,2,28,33,0
230,2,2,2,30,30,2,2,2,15,13,3
231,2,2,9,10,11,12,13,14,15,11,3
232,3,2,9,12,16,17,16,12,9,3,1
233,1,2,5,6,16,9,4,17,36,4,2
234,1,2,2,9,15,8,18,21,0,25,3
235,3,2,7,7,8,10,10,10,21,21,3
236,2,2,3,4,8,11,12,28,29,1,2
237,1,2,5,7,9,11,13,15,17,19,3
238,1,2,1,15,22,2,6,6,33,13,0
239,4,2,4,4,4,22,13,22,21,2,2
240,2,2,3,12,18,16,30,8,5,4,1
241,2,2,6,7,8,15,23,36,0,0,1
242,1,2,10,1,1,20,2,24,35,4,2
243,1,2,4,6,8,11,14,16,18,20,3
244,1,2,0,16,18,1,1,20,21,22,0
245,1,2,1,1,4,12,20,28,20,12,2
246,1,2,1,14,21,2,2,25,28,5,2
247,1,2,1,1,25,1,1,1,34,33,0
248,1,2,1,1,1,1,1,31,33,29,0
249,1,2,1,1,1,1,1,31,31,31,0
250,1,2,1,8,10,14,17,19,16,13,3
251,2,2,2,3,3,11,31,36,6,4,1
252,1,2,11,1,1,1,1,21,32,30,0
253,1,2,3,3,1,22,1,8,27,33,0
254,3,2,7,1,19,1,28,1,37,1,2
255,1,2,1,2,12,21,26,31,2,2,1
256,1,2,1,2,3,5,8,14,25,40,0
257,1,2,3,4,15,15,15,15,15,15,3
258,1,2,9,0,0,20,20,20,0,29,3
259,1,2,2,2,4,4,1,28,28,28,0
260,2,2,2,8,9,10,12,22,31,2,2
261,1,2,1,13,15,19,22,24,2,2,1
262,2,2,5,8,2,22,23,4,27,4,2
263,1,2,0,0,0,0,24,25,25,25,3
264,4,2,5,22,22,13,21,7,3,0,1
265,1,2,2,12,18,20,20,18,3,3,1
266,1,2,3,5,7,9,13,16,20,25,3
267,2,2,4,5,6,6,32,31,5,6,1
268,1,2,0,3,3,21,22,23,24,3,2
269,1,2,0,6,17,17,6,4,23,25,0
270,1,2,12,15,15,15,18,21,1,1,1
271,1,2,1,22,9,22,1,22,1,20,3
272,1,2,2,2,3,18,18,26,26,2,2
273,1,2,5,5,5,10,10,20,20,20,3
274,1,2,2,15,2,2,17,27,31,2,2
275,3,2,6,6,8,22,13,15,24,2,2
276,1,2,5,7,10,12,0,19,23,20,0
277,1,2,1,1,1,1,1,29,30,33,0
278,1,2,4,6,9,12,14,16,17,19,3
279,3,2,3,3,3,20,20,21,21,3,2
280,5,2,5,5,5,5,10,21,21,21,3
281,1,2,2,1,20,5,2,1,32,35,0
282,1,2,1,19,19,17,17,18,3,4,1
